2026-04-06 20:07:36,063	Epoch	Train_Loss	Val_Loss
2026-04-07 02:59:29,750	111:	0.022846296366237744	0.03309288185863
2026-04-07 03:07:06,628	116:	0.022870196421242755	0.03310538599935343
2026-04-07 03:14:48,495	121:	0.02283816476695155	0.03308271483852054
2026-04-07 03:22:24,965	126:	0.022831861629351562	0.033041438734475174
2026-04-07 03:30:07,244	131:	0.022858258938293064	0.03313874707750555
2026-04-07 03:37:44,750	136:	0.02285701810115136	0.03327165960140948
2026-04-07 03:45:20,723	141:	0.022873246311730853	0.03304554827089579
2026-04-07 03:52:56,323	146:	0.022874940233531513	0.03278160902829665
2026-04-07 04:00:32,847	151:	0.022849666286785173	0.033162853712180876
2026-04-07 04:08:13,874	156:	0.022907757609358096	0.03318467907045247
2026-04-07 04:15:49,639	161:	0.022864216342387264	0.03310695379128996
2026-04-07 04:23:35,455	166:	0.022894393692677616	0.032901858011225485
2026-04-07 04:31:11,671	171:	0.022892431782428748	0.033172751105618924
2026-04-07 04:39:04,724	176:	0.02292578987327421	0.033056392865079755
2026-04-07 04:46:35,147	181:	0.022909263723244592	0.03300265573527453
2026-04-07 04:54:11,160	186:	0.022908389657385637	0.033207897919247734
2026-04-07 05:01:52,862	191:	0.022902943302591964	0.03326754964325788
2026-04-07 05:09:23,231	196:	0.022907378538428676	0.03315273247096898
2026-04-07 05:17:03,336	201:	0.02295643248636052	0.0333173256086291
2026-04-07 05:24:38,557	206:	0.02294385550782157	0.033048469833326787
2026-04-07 05:32:19,900	211:	0.022983281504863954	0.03291989020159784
2026-04-07 05:40:00,764	216:	0.02302218519145173	0.03317616118012734
2026-04-07 05:47:51,702	221:	0.02298435141186032	0.032948252600881286
2026-04-07 05:55:27,187	226:	0.022990325536741914	0.03320306471355681
2026-04-07 06:03:03,095	231:	0.022964183274336535	0.03316774773147871
2026-04-07 06:10:33,568	236:	0.02301181416514796	0.033190978466058674
2026-04-07 06:18:20,916	241:	0.02302277348316735	0.03296115879883181
2026-04-07 06:25:56,193	246:	0.023023392468527852	0.033083815366592044
2026-04-07 06:33:33,157	251:	0.02301835343302069	0.033135957917514836
2026-04-07 06:41:14,574	256:	0.023037946291684475	0.033302996673111644
2026-04-07 06:48:46,097	261:	0.023061422429634697	0.03302814185197623
2026-04-07 06:56:32,545	266:	0.023126890480584757	0.03295528410037733
2026-04-07 07:04:11,622	271:	0.02306978934787129	0.03328079272694183
2026-04-07 07:11:54,152	276:	0.023142115798638455	0.03299064375460148
2026-04-07 07:19:28,998	281:	0.02312865463874908	0.03315530353981369
2026-04-07 07:27:20,760	286:	0.02322387513047993	0.033111084133105456
2026-04-07 07:34:50,721	291:	0.023178819571493415	0.03302070860452247
2026-04-07 07:42:26,052	296:	0.023228340465998098	0.03319458555219308
2026-04-07 07:50:07,027	301:	0.023208617150475612	0.032948855802697956
2026-04-07 07:57:42,280	306:	0.023119193692714264	0.032967054344854266
2026-04-07 08:05:29,422	311:	0.023146906333282664	0.033216538744152715
2026-04-07 08:12:59,695	316:	0.02318906796435	0.03327597648186504
2026-04-07 08:20:35,521	321:	0.023219336228780266	0.03332845529998248
2026-04-07 09:06:04,758	Epoch	Train_Loss	Val_Loss
2026-04-07 09:09:31,581	1  :	0.03238657084944546	0.03185365792198153
2026-04-07 19:04:59,899	Epoch	Train_Loss	Val_Loss
2026-04-07 19:06:14,625	1  :	0.03238438065378177	0.03188177671578913
2026-04-07 19:12:02,600	6  :	0.031599529074409945	0.03207971068816098
2026-04-07 19:17:54,270	11 :	0.030091962009924842	0.03243867296732717
2026-04-07 19:23:45,364	16 :	0.02920171390517415	0.032793323603067796
2026-04-07 19:29:33,734	21 :	0.028432466148053868	0.033135056230861056
2026-04-07 19:35:23,820	26 :	0.027852384735104308	0.033571089052269146
2026-04-07 19:40:51,304	31 :	0.027396701926412623	0.03359699208736131
2026-04-07 19:46:39,912	36 :	0.02706801794602237	0.03361509146431832
2026-04-07 19:52:28,004	41 :	0.026763593693032446	0.03383569207539641
2026-04-07 19:58:16,092	46 :	0.026529080595254082	0.03393667664674311
2026-04-07 20:04:04,786	51 :	0.026345764845377897	0.03393576168806456
2026-04-07 20:09:53,606	56 :	0.026168903001989322	0.033858688614858995
2026-04-07 20:15:31,388	61 :	0.02603894523536143	0.03412847509121295
2026-04-07 20:21:19,335	66 :	0.025920916409921235	0.03409860132539526
2026-04-07 20:27:10,647	71 :	0.02580684201373927	0.03400862408798311
2026-04-07 20:33:03,955	76 :	0.025701037545895884	0.03420600010626148
2026-04-07 20:38:55,744	81 :	0.025620145587639188	0.03420969914659368
2026-04-07 20:44:49,893	86 :	0.025555095286156838	0.0342322166872209
2026-04-07 20:50:30,611	91 :	0.025479470612191527	0.03415419251930033
2026-04-07 20:56:20,355	96 :	0.02543771991812153	0.034093990691395286
2026-04-07 21:02:12,376	101:	0.025377840505181284	0.0339976833805413
2026-04-07 21:08:05,393	106:	0.02530726484069002	0.03409037087653084
2026-04-07 21:13:54,327	111:	0.02527729839307485	0.03398119052781992
2026-04-07 21:19:43,080	116:	0.025240672466413504	0.034024312847241674
2026-04-07 21:25:09,191	121:	0.02518716585628877	0.03424245176559433
2026-04-07 21:30:57,969	126:	0.025156959779297897	0.03427892929840134
2026-04-07 21:44:42,463	Epoch	Train_Loss	Val_Loss
2026-04-07 21:45:29,017	Epoch	Train_Loss	Val_Loss
2026-04-07 21:47:05,828	Epoch	Train_Loss	Val_Loss
2026-04-07 21:53:24,954	Epoch	Train_Loss	Val_Loss
2026-04-07 21:54:39,013	1  :	0.03253808496106603	0.03177815981973071
2026-04-07 22:00:08,184	6  :	0.031353067506254585	0.030869433477996512
2026-04-07 22:05:47,061	11 :	0.03108076640640006	0.03073904601176138
2026-04-07 22:11:27,826	16 :	0.030969568262860174	0.030737476805279055
2026-04-07 22:17:05,310	21 :	0.030921170844536928	0.030699724864711845
2026-04-07 22:22:42,243	26 :	0.030859106580318502	0.030740362871258125
2026-04-07 22:27:55,920	31 :	0.03081936038561607	0.03071895878351288
2026-04-07 22:33:31,194	36 :	0.030789310549092657	0.030752156996231246
2026-04-07 22:39:07,552	41 :	0.03078761414714754	0.03072357199891566
2026-04-07 22:44:40,402	46 :	0.03074119731433124	0.03075789832609131
2026-04-07 22:50:16,344	51 :	0.030760910993187767	0.030737934718755158
2026-04-07 22:55:51,297	56 :	0.030700465381896407	0.030765697767154623
2026-04-07 23:01:12,359	61 :	0.03069425993824972	0.03077057832077405
2026-04-07 23:06:50,397	66 :	0.030664546020430977	0.03075404959321887
2026-04-07 23:12:29,595	71 :	0.030675629264710232	0.03079087691601344
2026-04-07 23:17:55,114	76 :	0.030688263175754887	0.030792691435023594
2026-04-07 23:23:27,332	81 :	0.030668443203673897	0.030809011847155468
2026-04-07 23:29:21,172	86 :	0.030679387688615146	0.030782788267766252
2026-04-07 23:34:45,160	91 :	0.030660143692227183	0.030798112732183542
2026-04-07 23:40:22,084	96 :	0.03064473901656296	0.030796845229180456
2026-04-07 23:45:55,257	101:	0.03065097854522527	0.030834164297500015
2026-04-07 23:51:28,895	106:	0.03064751904844088	0.030822758157548407
2026-04-07 23:57:04,000	111:	0.03067221165890023	0.03080279166797605
2026-04-08 00:02:39,150	116:	0.03062704111762694	0.030817406626717263
2026-04-08 00:07:56,092	121:	0.03062968681037599	0.030781557923993473
2026-04-08 00:13:24,386	126:	0.030635867838769818	0.0308135946189383
2026-04-08 00:18:56,729	131:	0.030623613820036186	0.030834177744933324
2026-04-08 00:24:30,477	136:	0.030614278271326147	0.03081704739020053
